mean_variance	median_variance	nun5	nun20	nun50
"AGAP000394"	9.65360645634574	8.43263435032702	20	61	107
"AGAP000395"	8.10135132896933	7.3073295729873	34	99	178
"AGAP000396"	3.41953122754507	3.38792878668883	129	374	711
"AGAP000397"	8.03998211925165	7.47667443217016	65	157	256
"AGAP000398"	5.68705312023885	5.1165332958285	101	243	433
"AGAP000399"	1.33778323498358	0.956815514415915	123	324	559
"AGAP000400"	10.2681671667989	9.1791385315428	53	146	266
"AGAP000401"	7.50506891592369	6.78078634027066	53	131	274
"AGAP000402"	7.08152677430117	6.36501459857767	82	207	435
"AGAP000403"	6.07290763185326	5.65389455873943	98	332	684
"AGAP000405"	9.32413323738728	8.46313192805846	56	108	169
"AGAP000406"	9.83964971722018	8.61499336448632	20	51	82
"AGAP000407"	9.47143587798058	8.51361676108564	28	66	116
"AGAP000410"	9.36844221380338	8.45689689583169	42	87	147
"AGAP000411"	10.1477447130262	8.49977713433194	24	81	193
"AGAP000412"	8.18295360886297	7.3995509487837	78	164	324
"AGAP000413"	9.83944205783444	8.60310313040429	41	79	117
"AGAP000414"	1.63556610363394	1.26570062633403	124	398	754
"AGAP000415"	1.6362571443928	1.28554537598557	126	398	723
"AGAP000416"	9.22054648621876	8.41635676304693	94	291	628
"AGAP000418"	6.14251282803971	6.40264607324349	110	318	628
"AGAP000420"	8.4053384665571	7.60656773079819	53	107	184
"AGAP000421"	7.28605603450209	6.55621321998317	80	199	364
"AGAP000422"	9.41795144919727	8.35571632764697	34	80	140
"AGAP000425"	2.29173930951616	2.02538065842332	120	386	738
"AGAP000426"	4.19288959955566	3.86676143819125	141	486	976
"AGAP000427"	10.107198881319	8.75677152290416	16	40	91
"AGAP000428"	9.16441212294785	8.36889661150583	48	109	178
"AGAP000429"	9.57597906591155	8.27037614248678	20	57	133
"AGAP000430"	8.29581672014942	7.06944345825718	43	108	215
"AGAP000431"	4.00671448819801	3.74193982094757	121	342	666
"AGAP000432"	7.98157069467538	7.65272761959449	77	162	248
"AGAP000433"	1.12349041510989	0.701501813626088	115	313	517
"AGAP000434"	7.37838805168584	7.21879457446823	128	406	794
"AGAP000436"	8.51113359348241	7.57665706401163	33	94	169
"AGAP000437"	6.71537170474704	6.34163345795403	97	231	393
"AGAP000438"	8.26951354172164	7.44645909866199	74	213	433
"AGAP000439"	5.57292399865632	5.26482244899373	114	382	784
"AGAP000440"	5.95024634072461	5.71314554756826	110	321	619
"AGAP000441"	7.887087852534	7.17082671016579	90	235	457
"AGAP000442"	8.65468345803883	8.90516276937467	111	320	675
"AGAP000443"	10.4589603495342	8.77392224949624	12	29	61
"AGAP000444"	8.94541422574971	7.82306131770737	65	162	284
"AGAP000445"	3.67136006453944	3.44106859958598	130	434	835
"AGAP000446"	9.07508285589556	8.27351060115242	53	106	178
"AGAP000447"	9.66444812683403	8.35277894568401	22	51	112
